Mrs. Henderson Presents,2005,71 Metascore,Stephen Frears,$95.67M
Mudbound,2017,85 Metascore,Dee Rees,$18.32M
Mulan,2020,66 Metascore,Niki Caro,$17.51M
Mulholland Drive,2001,86 Metascore,David Lynch,$45.51M
Munich,2005,74 Metascore,Steven Spielberg,$9.44M
Music of the Heart,1999,54 Metascore,Wes Craven,$142.50M
My Big Fat Greek Wedding,2002,62 Metascore,Joel Zwick,$61.56M
My Week with Marilyn,2011,65 Metascore,Simon Curtis,$56.00M
Mystic River,2003,84 Metascore,Clint Eastwood,$1.45M
News of the World,2020,73 Metascore,Paul Greengrass,$100.01M
Nightcrawler,2014,76 Metascore,Dan Gilroy,$198.54M
Nightmare Alley,2021,70 Metascore,Guillermo del Toro,$4.45M
Nine,2009,49 Metascore,Rob Marshall,$21.02M
Nowhere in Africa,2001,72 Metascore,Caroline Link,$37.71M
No Country for Old Men,2007,92 Metascore,Ethan Coen,$2.53M
No Man's Land,I 2001,84 Metascore,Danis Tanovic,$309.42M
No Time to Die,2021,68 Metascore,Cary Joji Fukunaga,$423.32M
Nocturnal Animals,2016,67 Metascore,Tom Ford,$305.41M
Nomadland,2020,91 Metascore,Chloé Zhao,$8.60M
Norbit,2007,27 Metascore,Brian Robbins,$60.67M
North Country,2005,68 Metascore,Niki Caro,$47.57M
Notes on a Scandal,2006,73 Metascore,Richard Eyre,$38.41M
"O Brother, Where Art Thou?",2000,69 Metascore,Joel Coen,$61.00M
Once,I 2007,90 Metascore,John Carney,$126.48M
Once Upon a Time in Hollywood,2019,83 Metascore,Quentin Tarantino,$149.26M
One Night in Miami...,2020,83 Metascore,Regina King,$168.46M
Onward,I 2020,61 Metascore,Dan Scanlon,$7.06M
Over the Moon,2020,60 Metascore,Glen Keane,$14.50M
ParaNorman,2012,72 Metascore,Chris Butler,$2.23M
Paradise Now,2005,71 Metascore,Hany Abu-Assad,$12.80M
Passengers,I 2016,41 Metascore,Morten Tyldum,$201.09M
Pearl Harbor,2001,44 Metascore,Michael Bay,$123.48M
Persepolis,2007,90 Metascore,Vincent Paronnaud,$206.45M
Phantom Thread,2017,90 Metascore,Paul Thomas Anderson,$75.33M
Philomena,2013,77 Metascore,Stephen Frears,$54.72M
Pieces of April,2003,70 Metascore,Peter Hedges,$137.69M
Pieces of a Woman,2020,66 Metascore,Kornél Mundruczó,$85.47M
Pirates of the Caribbean: At World's End,2007,50 Metascore,Gore Verbinski,$3.64M
Pirates of the Caribbean: Dead Man's Chest,2006,53 Metascore,Gore Verbinski,$22.91M
Pirates of the Caribbean: The Curse of the Black Pearl,2003,63 Metascore,Gore Verbinski,$143.62M
Pollock,2000,77 Metascore,Ed Harris,$176.76M
Poseidon,2006,50 Metascore,Wolfgang Petersen,$104.45M
Precious,II 2009,78 Metascore,Lee Daniels,$96.37M
Pride & Prejudice,2005,82 Metascore,Joe Wright,$532.18M
Prisoners,2013,70 Metascore,Denis Villeneuve,$11.96M
Prometheus,I 2012,64 Metascore,Ridley Scott,$14.68M
Promising Young Woman,2020,72 Metascore,Emerald Fennell,$118.31M
Puss in Boots,2011,65 Metascore,Chris Miller,$83.30M
Puss in Boots: The Last Wish,2022,73 Metascore,Joel Crawford,$120.28M
Quills,2000,70 Metascore,Philip Kaufman,$52.08M
